fillingLimit;name;avgFillingRatePerDay;fillingRate;serialNumber;collectFrequency;fillingRateDate;localisationfo_streetbis;localisationfo_town;localisationfo_name;localisationfo_country;localisationfo_number;localisationfo_street;localisationfo_postalcode;wastecontainermodelfo_usefulcapacity;wastecontainermodelfo_model;wastecontainermodelfo_type;wastecontainermodelfo_manufacturer;wastetype_designation;wastetype_density;geo
100;19031-P 001;9;20;19031-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;19031;France;19031;12, Avenue Ambroise Rendu;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.885009, 2.396018
100;13009-V 001;7;38;13009-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;13009;France;13009;17, Avenue d'Ivry;75013;500;Modèle 500L TRILIB (1180);aerial;PLASTIC OMNIUM;Glass;0.3;48.822192, 2.367952
100;19028-V 001;7;18;19028-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;19028;France;19028;35, Rue Archereau;75019;500;Modèle 500L TRILIB (1180);aerial;PLASTIC OMNIUM;Glass;0.3;48.891309, 2.373746
100;18023-V 001;10;60;18023-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;18023;France;18023;7, Rue Saint Luc;75018;500;Modèle 500L TRILIB (1180);aerial;PLASTIC OMNIUM;Glass;0.3;48.88606, 2.354129
100;13013-P 001;13;82;13013-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;13013;France;13013;74, Avenue d'Ivry;75013;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.824761, 2.364096
100;18021-P 001;5;24;18021-P 001;c400;2018-12-22T13:00:00+01:00;;Paris;18021;France;18021;24, Rue Marcadet;75018;770;Modèle 770L TRILIB (1190);aerial;PLASTIC OMNIUM;CB;0.2;48.890473, 2.352731
100;18023-PM 001;13;43;18023-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;18023;France;18023;7, Rue Saint Luc;75018;770;Modèle 770L TRILIB (1220);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.88606, 2.354129
100;18017-PM 001;9;12;18017-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;18017;France;18017;12, Rue Ordener;75018;770;Modèle 770L TRILIB (1220);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.890392, 2.358258
100;19025-P 001;13;18;19025-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;19025;France;19025;75, Avenue de Flandres;75019;770;Modèle 770L TRILIB (1220);aerial;PLASTIC OMNIUM;CB;0.2;48.889013, 2.374225
100;19026-PM 001;12;60;19026-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;19026;France;19026;46, Rue Riquet;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.88929, 2.37139
100;18022-P 001;13;43;18022-P 001;c400;2018-12-22T13:00:00+01:00;;Paris;18022;France;18022;25, Rue Doudeauville;75018;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.888548, 2.355901
